ORIGINAL LABEL,OTT TAXON NAME,OTT TAXON ID,TAXONOMIC SOURCES
Doryrhamphus excisus,Doryrhamphus excisus,971452,ncbi:161450;gbif:4286276;irmng:10982390
Pungitius pungitius,Pungitius pungitius,561269,ncbi:134920;worms:126507;gbif:5739510;irmng:10960097
Clinocottus analis,Clinocottus analis,1053619,ncbi:304258;worms:280219;gbif:2333868;irmng:11408113
Gasterosteus aculeatus aculeatus,Gasterosteus aculeatus aculeatus,111122,ncbi:481459
Betta splendens,Betta splendens,1033356,ncbi:158456;worms:862539;gbif:2393998;irmng:11316985
Osmerus eperlanus,Osmerus eperlanus,987406,ncbi:29151;worms:126736;gbif:2410854;irmng:10570465
Syngnathus scovelli,Syngnathus scovelli,251400,ncbi:161590;worms:275232;gbif:2332964;irmng:11279844
Takifugu rubripes,Takifugu rubripes,65341,ncbi:31033;worms:278428;gbif:2407604;irmng:10152264
Cebidichthys violaceus,Cebidichthys violaceus,525452,ncbi:271503;worms:280053;gbif:2394760;irmng:10572646
Takifugu flavidus,Takifugu flavidus,465404,ncbi:433684;worms:278418;gbif:2407565;irmng:10574180
Embiotoca jacksoni,Embiotoca jacksoni,550252,ncbi:100190;worms:240746;gbif:2389282;irmng:10579374
Syngnathus acus,Syngnathus acus,774440,ncbi:161584;worms:127387;gbif:2332927;irmng:10716745
Syngnathus typhle,Syngnathus typhle,251396,ncbi:161592;worms:127393;gbif:2332908;irmng:10151815
Hypomesus transpacificus,Hypomesus transpacificus,348839,ncbi:137520;worms:279423;gbif:2410879;irmng:10454771
Brachionichthys hirsutus,Brachionichthys hirsutus,135282,ncbi:412623;worms:279954;gbif:9496661;irmng:10159969
Anarhichas minor,Anarhichas minor,292333,ncbi:65739;worms:126759;gbif:2392194;irmng:10851842
Pimephales promelas,Pimephales promelas,564459,ncbi:90988;gbif:2367742;irmng:10570470
Simochromis diagramma,Simochromis diagramma,190803,ncbi:43689;gbif:2371727;irmng:10999328
Trematomus bernacchii,Trematomus bernacchii,985361,ncbi:40690;worms:234802;gbif:2385986;irmng:11247294
Poeciliopsis prolifica,Poeciliopsis prolifica,515285,ncbi:188132;worms:282307;gbif:2350479;irmng:11004584
Lepisosteus oculatus,Lepisosteus oculatus,1028028,ncbi:7918;worms:275402;gbif:2346692;irmng:10576375
Nelusetta ayraudi,Nelusetta ayraudi,333698,ncbi:303726;worms:281648;gbif:2407011;irmng:10163488;irmng:10282483
Seriola dumerili,Seriola dumerili,986392,ncbi:41447;worms:126816;gbif:5961696;irmng:10153312
Anarrhichthys ocellatus,Anarrhichthys ocellatus,714035,ncbi:433405;worms:279605;gbif:2392219;irmng:10570953
Poecilia reticulata,Poecilia reticulata,312452,ncbi:8081;worms:154400;gbif:2350050;irmng:11093437;irmng:10534081
Genypterus blacodes,Genypterus blacodes,149385,ncbi:154954;worms:278702;gbif:2345645;irmng:10454522
Neolamprologus brichardi,Neolamprologus brichardi,279935,ncbi:32507;gbif:2371754;irmng:11327569
Rhinichthys klamathensis goyatoka,Rhinichthys osculus,592028,ncbi:86924;gbif:2359791;irmng:10151262
Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,730762,ncbi:74940;worms:158075;gbif:5204024;irmng:10576735
Brachyistius frenatus,Brachyistius frenatus,29170,ncbi:100188;worms:240721;gbif:2389277;irmng:10155868
Pundamilia nyererei,Pundamilia nyererei,7106,ncbi:303518;gbif:2373693;irmng:10571865
Monopterus albus,Monopterus albus,655999,ncbi:43700;worms:281590;gbif:5204081;irmng:11311823
Hippocampus comes,Hippocampus comes,630158,ncbi:109280;worms:275191;gbif:5201144;irmng:11111684
Oncorhynchus keta,Oncorhynchus keta,739921,ncbi:8018;worms:127183;gbif:5204014;irmng:11437593
Gymnodraco acuticeps,Gymnodraco acuticeps,781785,ncbi:8218;worms:234800;gbif:2393139;irmng:10571177
Poecilia formosa,Poecilia formosa,998168,ncbi:48698;worms:275347;gbif:5203783;irmng:10153795
Pygocentrus nattereri,Pygocentrus nattereri,649803,ncbi:42514;gbif:2352479;irmng:11190234
Haplochromis burtoni,Haplochromis burtoni,710025,ncbi:8153;worms:991221;gbif:2371438;irmng:11345212
Cyprinodon tularosa,Cyprinodon tularosa,440940,ncbi:77115;worms:276023;gbif:2347878;irmng:10158516
Sinocyclocheilus anshuiensis,Sinocyclocheilus anshuiensis,5839047,ncbi:1608454;gbif:7965982
Seriola lalandi dorsalis,Seriola lalandi dorsalis,5924480,ncbi:1841481
Sinocyclocheilus grahami,Sinocyclocheilus grahami,211553,ncbi:75366;worms:282800;gbif:2359941;irmng:10571635
Austrofundulus limnaeus,Austrofundulus limnaeus,495268,ncbi:52670;gbif:2349134;irmng:10572019
Salvelinus malma malma,Salvelinus malma malma,331967,ncbi:85063
Sinocyclocheilus rhinocerous,Sinocyclocheilus rhinocerous,905012,ncbi:307959;gbif:2359950;irmng:10972442
Cyprinodon variegatus variegatus,Cyprinodon variegatus variegatus,1006852,ncbi:1137050
Electrophorus electricus,Electrophorus electricus,216168,ncbi:8005;gbif:2401958;irmng:10662631
Centroberyx gerrardi,Centroberyx gerrardi,999374,ncbi:166262;worms:276894;gbif:2356626;irmng:11239788
Cynoglossus semilaevis,Cynoglossus semilaevis,906506,ncbi:244447;worms:274225;gbif:2409626;irmng:10163308
Stegastes partitus,Stegastes partitus,345269,ncbi:144197;worms:276677;gbif:2398881;irmng:11372632
Poecilia latipinna,Poecilia latipinna,998174,ncbi:48699;worms:275348;gbif:5203752;irmng:10572431
Poecilia mexicana,Poecilia mexicana,6465,ncbi:48701;worms:275349;gbif:8400492;irmng:10158008
Centroberyx affinis,Centroberyx affinis,350069,ncbi:166261;worms:276891;gbif:2356624;irmng:10996740
Notothenia coriiceps,Notothenia coriiceps,258643,ncbi:8208;worms:234679;gbif:8399273;irmng:10837661
